lap2D_5pt_n1000.mtx |  Average over 45136: 0.0143144 s
Rank 1 time in mat_vec: 0.0129514 s
Rank 3 time in mat_vec: 0.012739 s
Rank 5 time in mat_vec: 0.0150392 s
Rank 7 time in mat_vec: 0.0151357 s
Rank 0 time in mat_vec: 0.0159877 s
Rank 6 time in mat_vec: 0.0164985 s
Rank 4 time in mat_vec: 0.0165436 s
Rank 2 time in mat_vec: 0.0166761 s
Rank 1 time in mat_vec: 0.0136561 s
Rank 3 time in mat_vec: 0.0139093 s
Rank 5 time in mat_vec: 0.0158501 s
Rank 7 time in mat_vec: 0.015777 s
Rank 6 time in mat_vec: 0.0168997 s
Rank 4 time in mat_vec: 0.0167901 s
Rank 2 time in mat_vec: 0.0172278 s
Rank 0 time in mat_vec: 0.0172404 s
Rank 1 time in mat_vec: 0.0150282 s
Rank 3 time in mat_vec: 0.0157582 s
Rank 5 time in mat_vec: 0.016936 s
Rank 7 time in mat_vec: 0.0172559 s
Rank 4 time in mat_vec: 0.017747 s
Rank 6 time in mat_vec: 0.017927 s
Rank 0 time in mat_vec: 0.0186596 s
Rank 2 time in mat_vec: 0.0182752 s
Rank 1 time in mat_vec: 0.0137781 s
Rank 3 time in mat_vec: 0.0137068 s
Rank 5 time in mat_vec: 0.0159213 s
Rank 7 time in mat_vec: 0.015914 s
Rank 4 time in mat_vec: 0.017145 s
Rank 6 time in mat_vec: 0.0177561 s
Rank 2 time in mat_vec: 0.0175476 s
Rank 0 time in mat_vec: 0.0175731 s
Rank 1 time in mat_vec: 0.0134434 s
Rank 3 time in mat_vec: 0.0132646 s
Rank 7 time in mat_vec: 0.0151681 s
Rank 5 time in mat_vec: 0.0153816 s
Rank 6 time in mat_vec: 0.016178 s
Rank 4 time in mat_vec: 0.0164757 s
Rank 0 time in mat_vec: 0.0157543 s
Rank 2 time in mat_vec: 0.0164463 s
Rank 1 time in mat_vec: 0.0139599 s
Rank 3 time in mat_vec: 0.0137942 s
Rank 7 time in mat_vec: 0.0157437 s
Rank 5 time in mat_vec: 0.0158659 s
Rank 6 time in mat_vec: 0.0164869 s
Rank 4 time in mat_vec: 0.0167339 s
Rank 2 time in mat_vec: 0.0171342 s
Rank 0 time in mat_vec: 0.016978 s
Rank 1 time in mat_vec: 0.0120274 s
Rank 3 time in mat_vec: 0.0119318 s
