lap2D_5pt_n1000.mtx  |  Average over 11284: 0.0365565 s
Rank 1 time in mat_vec: 0.0261519 s
Rank 0 time in mat_vec: 0.0257232 s
Rank 1 time in mat_vec: 0.0264276 s
Rank 0 time in mat_vec: 0.0257952 s
Rank 1 time in mat_vec: 0.0261731 s
Rank 0 time in mat_vec: 0.0257294 s
Rank 1 time in mat_vec: 0.0261573 s
Rank 0 time in mat_vec: 0.0257787 s
Rank 1 time in mat_vec: 0.0261685 s
Rank 0 time in mat_vec: 0.0257255 s
Rank 1 time in mat_vec: 0.0261412 s
Rank 0 time in mat_vec: 0.0258077 s
Rank 1 time in mat_vec: 0.026182 s
Rank 0 time in mat_vec: 0.0256937 s
Rank 1 time in mat_vec: 0.0261423 s
Rank 0 time in mat_vec: 0.0257575 s
Rank 1 time in mat_vec: 0.026174 s
Rank 0 time in mat_vec: 0.0257109 s
Rank 1 time in mat_vec: 0.0261469 s
Rank 0 time in mat_vec: 0.0257985 s
Rank 1 time in mat_vec: 0.026375 s
Rank 0 time in mat_vec: 0.0257427 s
Rank 1 time in mat_vec: 0.0261584 s
Rank 0 time in mat_vec: 0.0257396 s
Rank 1 time in mat_vec: 0.0261988 s
Rank 0 time in mat_vec: 0.0257216 s
Rank 1 time in mat_vec: 0.0261683 s
Rank 0 time in mat_vec: 0.0257802 s
Rank 1 time in mat_vec: 0.026215 s
Rank 0 time in mat_vec: 0.0260945 s
Rank 1 time in mat_vec: 0.0264061 s
Rank 1 time in mat_vec: 0.0263738 s
Rank 0 time in mat_vec: 0.026001 s
Rank 1 time in mat_vec: 0.0282069 s
Rank 0 time in mat_vec: 0.0276262 s
Rank 0 time in mat_vec: 0.027152 s
Rank 1 time in mat_vec: 0.0273359 s
Rank 1 time in mat_vec: 0.0269659 s
Rank 0 time in mat_vec: 0.0270899 s
Rank 1 time in mat_vec: 0.0272115 s
Rank 0 time in mat_vec: 0.0274945 s
Rank 1 time in mat_vec: 0.0286181 s
Rank 0 time in mat_vec: 0.028404 s
Rank 0 time in mat_vec: 0.0270556 s
Rank 1 time in mat_vec: 0.0274195 s
Rank 1 time in mat_vec: 0.0271429 s
Rank 0 time in mat_vec: 0.0272792 s
Rank 1 time in mat_vec: 0.028534 s
Rank 0 time in mat_vec: 0.0286555 s
Rank 0 time in mat_vec: 0.0268267 s
Rank 1 time in mat_vec: 0.0271878 s
Rank 1 time in mat_vec: 0.0274234 s
Rank 0 time in mat_vec: 0.0274338 s
Rank 1 time in mat_vec: 0.0284182 s
Rank 0 time in mat_vec: 0.0297694 s
Rank 0 time in mat_vec: 0.0267268 s
Rank 1 time in mat_vec: 0.0270881 s
Rank 0 time in mat_vec: 0.0274381 s
Rank 1 time in mat_vec: 0.0274852 s
Rank 1 time in mat_vec: 0.0281321 s
Rank 0 time in mat_vec: 0.0284049 s
Rank 1 time in mat_vec: 0.0275588 s
Rank 0 time in mat_vec: 0.0273614 s
Rank 0 time in mat_vec: 0.0272265 s
Rank 1 time in mat_vec: 0.0277235 s
Rank 1 time in mat_vec: 0.0274116 s
Rank 0 time in mat_vec: 0.0277212 s
Rank 1 time in mat_vec: 0.0285016 s
Rank 0 time in mat_vec: 0.028318 s
Rank 0 time in mat_vec: 0.0270356 s
Rank 1 time in mat_vec: 0.0275062 s
Rank 1 time in mat_vec: 0.0270596 s
Rank 0 time in mat_vec: 0.0275749 s
Rank 1 time in mat_vec: 0.0286706 s
Rank 0 time in mat_vec: 0.0286644 s
Rank 1 time in mat_vec: 0.0272228 s
Rank 0 time in mat_vec: 0.0268964 s
Rank 1 time in mat_vec: 0.0273285 s
Rank 0 time in mat_vec: 0.0272466 s
Rank 1 time in mat_vec: 0.0284417 s
Rank 0 time in mat_vec: 0.0284926 s
Rank 0 time in mat_vec: 0.0273143 s
Rank 1 time in mat_vec: 0.0281639 s
Rank 1 time in mat_vec: 0.0274037 s
Rank 0 time in mat_vec: 0.0279144 s
Rank 1 time in mat_vec: 0.0286982 s
Rank 0 time in mat_vec: 0.0283637 s
Rank 1 time in mat_vec: 0.0271114 s
Rank 0 time in mat_vec: 0.026869 s
Rank 1 time in mat_vec: 0.0272314 s
Rank 0 time in mat_vec: 0.0272233 s
Rank 1 time in mat_vec: 0.0283227 s
Rank 0 time in mat_vec: 0.0282512 s
Rank 0 time in mat_vec: 0.0267975 s
Rank 1 time in mat_vec: 0.0269951 s
Rank 1 time in mat_vec: 0.0274703 s
Rank 0 time in mat_vec: 0.0275732 s
Rank 1 time in mat_vec: 0.0278622 s
Rank 0 time in mat_vec: 0.0280624 s
Rank 1 time in mat_vec: 0.027973 s
Rank 0 time in mat_vec: 0.0282252 s
Rank 0 time in mat_vec: 0.0274225 s
Rank 1 time in mat_vec: 0.0275957 s
Rank 1 time in mat_vec: 0.0273399 s
Rank 0 time in mat_vec: 0.0275339 s
Rank 1 time in mat_vec: 0.0284714 s
Rank 0 time in mat_vec: 0.0285085 s
Rank 0 time in mat_vec: 0.0270461 s
Rank 1 time in mat_vec: 0.0274497 s
Rank 1 time in mat_vec: 0.0271709 s
Rank 0 time in mat_vec: 0.0274137 s
Rank 1 time in mat_vec: 0.0285486 s
Rank 0 time in mat_vec: 0.0286764 s
Rank 0 time in mat_vec: 0.0268509 s
Rank 1 time in mat_vec: 0.0272601 s
Rank 1 time in mat_vec: 0.0273455 s
Rank 0 time in mat_vec: 0.0273388 s
Rank 1 time in mat_vec: 0.0282233 s
Rank 0 time in mat_vec: 0.0284617 s
Rank 0 time in mat_vec: 0.026682 s
Rank 1 time in mat_vec: 0.0270315 s
Rank 0 time in mat_vec: 0.027444 s
Rank 1 time in mat_vec: 0.0275873 s
Rank 1 time in mat_vec: 0.0280808 s
Rank 0 time in mat_vec: 0.028254 s
Rank 1 time in mat_vec: 0.0275074 s
Rank 0 time in mat_vec: 0.027492 s
Rank 1 time in mat_vec: 0.0275557 s
Rank 0 time in mat_vec: 0.0277406 s
Rank 1 time in mat_vec: 0.0273572 s
Rank 0 time in mat_vec: 0.0281199 s
Rank 1 time in mat_vec: 0.0282425 s
Rank 0 time in mat_vec: 0.0280205 s
Rank 0 time in mat_vec: 0.0271819 s
Rank 1 time in mat_vec: 0.027399 s
Rank 1 time in mat_vec: 0.0269115 s
Rank 0 time in mat_vec: 0.0271108 s
Rank 1 time in mat_vec: 0.028057 s
Rank 0 time in mat_vec: 0.0283852 s
Rank 0 time in mat_vec: 0.0267599 s
Rank 1 time in mat_vec: 0.0273044 s
Rank 0 time in mat_vec: 0.027346 s
Rank 1 time in mat_vec: 0.027574 s
Rank 1 time in mat_vec: 0.0273158 s
Rank 0 time in mat_vec: 0.0278492 s
Rank 1 time in mat_vec: 0.0282747 s
Rank 0 time in mat_vec: 0.0279141 s
Rank 1 time in mat_vec: 0.0274331 s
Rank 0 time in mat_vec: 0.0275183 s
Rank 1 time in mat_vec: 0.0271127 s
Rank 0 time in mat_vec: 0.0274746 s
Rank 1 time in mat_vec: 0.0286818 s
Rank 0 time in mat_vec: 0.028501 s
Rank 0 time in mat_vec: 0.0269121 s
Rank 1 time in mat_vec: 0.0272457 s
Rank 1 time in mat_vec: 0.0271492 s
Rank 0 time in mat_vec: 0.0271205 s
Rank 1 time in mat_vec: 0.0283765 s
Rank 0 time in mat_vec: 0.028451 s
Rank 0 time in mat_vec: 0.0267595 s
Rank 1 time in mat_vec: 0.0270745 s
Rank 0 time in mat_vec: 0.0274248 s
Rank 1 time in mat_vec: 0.0275881 s
Rank 1 time in mat_vec: 0.0281343 s
Rank 0 time in mat_vec: 0.0282502 s
Rank 1 time in mat_vec: 0.0277539 s
Rank 0 time in mat_vec: 0.0275886 s
Rank 0 time in mat_vec: 0.0273979 s
Rank 1 time in mat_vec: 0.0276346 s
Rank 1 time in mat_vec: 0.0274187 s
Rank 0 time in mat_vec: 0.0275937 s
Rank 1 time in mat_vec: 0.0284306 s
Rank 0 time in mat_vec: 0.02847 s
Rank 1 time in mat_vec: 0.027383 s
Rank 0 time in mat_vec: 0.0271667 s
Rank 1 time in mat_vec: 0.0271592 s
Rank 0 time in mat_vec: 0.027296 s
Rank 1 time in mat_vec: 0.0285817 s
Rank 0 time in mat_vec: 0.0286989 s
Rank 0 time in mat_vec: 0.0269182 s
Rank 1 time in mat_vec: 0.0272707 s
Rank 1 time in mat_vec: 0.02725 s
Rank 0 time in mat_vec: 0.0274166 s
Rank 1 time in mat_vec: 0.0283895 s
Rank 0 time in mat_vec: 0.0284848 s
Rank 0 time in mat_vec: 0.0268006 s
Rank 1 time in mat_vec: 0.0270974 s
Rank 1 time in mat_vec: 0.0275392 s
Rank 0 time in mat_vec: 0.0278019 s
Rank 1 time in mat_vec: 0.0280195 s
Rank 0 time in mat_vec: 0.028243 s
Rank 1 time in mat_vec: 0.0278317 s
Rank 0 time in mat_vec: 0.0276111 s
Rank 0 time in mat_vec: 0.027265 s
Rank 1 time in mat_vec: 0.0277574 s
Rank 1 time in mat_vec: 0.0273696 s
Rank 0 time in mat_vec: 0.0282765 s
Rank 1 time in mat_vec: 0.0283539 s
Rank 0 time in mat_vec: 0.0281677 s
Rank 0 time in mat_vec: 0.0271732 s
Rank 1 time in mat_vec: 0.0276773 s
Rank 1 time in mat_vec: 0.0271133 s
Rank 0 time in mat_vec: 0.0277668 s
Rank 1 time in mat_vec: 0.0286851 s
Rank 0 time in mat_vec: 0.028329 s
Rank 0 time in mat_vec: 0.0269391 s
Rank 1 time in mat_vec: 0.0273574 s
Rank 1 time in mat_vec: 0.0271586 s
Rank 0 time in mat_vec: 0.0273838 s
Rank 1 time in mat_vec: 0.028476 s
Rank 0 time in mat_vec: 0.028629 s
Rank 0 time in mat_vec: 0.0267176 s
Rank 1 time in mat_vec: 0.0272701 s
Rank 0 time in mat_vec: 0.0273316 s
Rank 1 time in mat_vec: 0.0275867 s
Rank 1 time in mat_vec: 0.0282686 s
Rank 0 time in mat_vec: 0.0286405 s
Rank 0 time in mat_vec: 0.0268486 s
Rank 1 time in mat_vec: 0.0270316 s
Rank 0 time in mat_vec: 0.0275945 s
Rank 1 time in mat_vec: 0.0277063 s
Rank 1 time in mat_vec: 0.0274631 s
Rank 0 time in mat_vec: 0.0279013 s
Rank 1 time in mat_vec: 0.0281048 s
Rank 0 time in mat_vec: 0.0280828 s
Rank 0 time in mat_vec: 0.0272549 s
Rank 1 time in mat_vec: 0.0275215 s
Rank 1 time in mat_vec: 0.0271421 s
Rank 0 time in mat_vec: 0.0276115 s
Rank 1 time in mat_vec: 0.0286942 s
